@relation Printer.arff

@attribute rating numeric
@attribute numberOfSentences numeric
@attribute numberOfWords numeric
@attribute width numeric
@attribute depth numeric
@attribute smog numeric
@attribute wordsPerSentence numeric
@attribute percentComplexWords numeric
@attribute syllablesPerWords numeric
@attribute fleschReadingScore numeric
@attribute meanRatingOfProduct numeric
@attribute stdDevRating numeric
@attribute fleschKincaid numeric
@attribute numComplexWords numeric
@attribute numberOfSentiment numeric
@attribute popularityOfProduct numeric
@attribute fogIndex numeric
@attribute reviewHelpfulness {helpful,unhelpful}

@data
5.0,16.0,269.0,10.0,27.857142857142858,10.550174713134766,16.8125,10.037175178527832,1.553903341293335,58.31010437011719,2.44,1.6632498309033434,9.302934646606445,27.0,15.0,50.0,10.739870071411133,helpful
4.0,27.0,491.0,18.0,20.53846153846154,10.585719108581543,18.185184478759766,9.368636131286621,1.4806517362594604,63.11390686035156,2.358490566037736,1.6379271256008079,8.973913192749023,46.0,23.0,53.0,11.021529197692871,helpful
4.0,38.0,869.0,26.0,25.473684210526315,10.307518005371094,22.86842155456543,6.9044880867004395,1.4361335039138794,62.126670837402344,2.185185185185185,1.415183198114281,10.27505874633789,60.0,68.0,27.0,11.909163475036621,helpful
2.0,7.0,123.0,7.0,19.5,9.606744766235352,17.571428298950195,7.317072868347168,1.5284552574157715,59.69268798828125,2.588235294117647,1.717002296391344,9.298629760742188,9.0,5.0,17.0,9.955400466918945,helpful
5.0,3.0,41.0,0.0,NaN,8.841846466064453,13.666666984558105,7.317072868347168,1.5365853309631348,62.96821594238281,3.0434782608695654,1.488455892923799,7.871707916259766,3.0,2.0,23.0,8.3934965133667,helpful
5.0,10.0,122.0,2.0,18.5,9.642632484436035,12.199999809265137,10.65573787689209,1.5573770999908447,62.697906494140625,2.1785714285714284,1.3107678073930402,7.545049667358398,13.0,4.0,28.0,9.142294883728027,helpful
1.0,10.0,186.0,1.0,36.0,9.387100219726562,18.600000381469727,6.45161247253418,1.4247311353683472,67.42375946044922,2.0,1.5275252316519468,8.475828170776367,12.0,11.0,6.0,10.020645141601562,helpful
4.0,7.0,101.0,1.0,23.0,8.841846466064453,14.428571701049805,6.93069314956665,1.4158415794372559,72.40980529785156,2.44,1.6632498309033434,6.744071960449219,7.0,5.0,50.0,8.543705940246582,helpful
4.0,4.0,80.0,4.0,12.0,11.698219299316406,20.0,11.25,1.5750000476837158,53.290008544921875,2.3333333333333335,1.5634719199411433,10.795000076293945,9.0,8.0,18.0,12.5,helpful
5.0,11.0,196.0,2.0,22.5,11.741388320922852,17.81818199157715,12.755102157592773,1.5714285373687744,55.80670166015625,2.358490566037736,1.6379271256008079,9.901947021484375,25.0,9.0,53.0,12.229313850402832,helpful
1.0,2.0,69.0,1.0,67.0,12.161745071411133,34.5,7.2463765144348145,1.4202898740768433,51.660980224609375,2.44,1.6632498309033434,14.624420166015625,5.0,0.0,50.0,16.698551177978516,helpful
5.0,4.0,132.0,7.0,27.0,12.602617263793945,33.0,8.333333969116211,1.553030252456665,41.95365905761719,3.9285714285714284,1.222660197758835,15.605758666992188,11.0,12.0,14.0,16.533334732055664,helpful
4.0,37.0,1009.0,21.0,31.0,13.244266510009766,27.2702693939209,11.49653148651123,1.5787909030914307,45.58998107910156,3.3076923076923075,1.635407048113023,13.67513656616211,116.0,60.0,13.0,15.506720542907715,helpful
2.0,10.0,144.0,1.0,28.0,9.387100219726562,14.399999618530273,8.333333969116211,1.5347222089767456,62.38151550292969,3.0,1.5634719199411433,8.135721206665039,12.0,8.0,27.0,9.09333324432373,helpful
