card stock,memory card,sd card,,
customer service,customer support,technical support,tech support,support
paper feed,paper feeder,sheet feeder,,
paper size,size paper,,,
price,cost,price point,money,
toner,toner cartridges,,,
starter toner,starter cartridges,,,
wifi,wifi connection,connection,,
scanner,scan function,scan feature,,
scan software,software,,,
device,part,,,
legal size,size,,,
plain paper,regular paper,,,
control panel,touch screen,,,
mac,mac os,,,
image,pictures,,,
